HSA (M),Delta Abs (meas),Delta Abs (fit),[ICG_free],[HSA·ICG],[HSA·ICG2],Fraction Bound,[HSA·ICG3]
0.0,0.0,0.0002321465359179205,9.81e-07,0.0,0.0,0.0,0.0
1.0000000000000001e-07,0.012,0.011431778158364088,8.508185441701479e-07,5.271334978230985e-08,3.873403196621296e-08,0.13270280920474245,1.4038372189867653e-14
1.2e-06,0.0461,0.04782086315579182,4.278417694888176e-07,3.180885936407551e-07,1.1753478630394151e-07,0.5638717946087549,2.1420850119443023e-14
2.4e-06,0.0566,0.05873891046921218,3.0093337267764027e-07,4.474713790052317e-07,1.1629760179610652e-07,0.6932381522144277,1.490830297876641e-14
3.5e-06,0.0662,0.06389754521387735,2.40970812854783e-07,5.225359262950564e-07,1.0874661368110663e-07,0.7543620664069498,1.1162649372489797e-14
4.6e-06,0.0707,0.06721434429493144,2.0241724719987932e-07,5.76884691136142e-07,1.008490177883886e-07,0.7936623372070577,8.695734789790002e-15
5.6e-06,0.0732,0.06937308636587058,1.7732461960016223e-07,6.152345722535507e-07,9.422039339754245e-08,0.8192409586134928,7.117066909260383e-15
8.5e-06,0.0693,0.07331850362214144,1.3146416815029328e-07,6.923249637629912e-07,7.860542744040075e-08,0.8659896349130491,4.401969509419041e-15
1.13e-05,0.074,0.0755335194376932,1.0571742992930199e-07,7.401311933257916e-07,6.757568380771796e-08,0.8922350357499429,3.0431554978351128e-15
1.9699999999999998e-05,0.0792,0.07885580667325041,6.7100071467e-08,8.189792097188591e-07,4.746035737222036e-08,0.9316003348960238,1.3565664918956794e-15
3.95e-05,0.0806,0.08150362802604197,3.632252001674311e-08,8.889078378887316e-07,2.7884820400087172e-08,0.9629739857117812,4.314504458251271e-16
5.6399999999999995e-05,0.0742,0.08237919388557174,2.6145181858578666e-08,9.135965253631894e-07,2.0629146044487397e-08,0.9733484384723969,2.2975237853283034e-16
0.00011279999999999999,0.0899,0.08346471157035106,1.3527421087733336e-08,9.453829749379119e-07,1.104480189171095e-08,0.986210579930955,6.364437679809897e-17
0.00022559999999999998,0.0858,0.0840359654737273,6.887321904384613e-09,9.626604848172408e-07,5.726096613987934e-09,0.9929792845011367,1.679949210108558e-17
